condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,teacher_probability_rmse,min_answer_mass,answer_mass_below_0_95_count,max_relative_norm_error,dominance_argmax_violation_rate,label_order_gap
baseline,0.4745291759455774,1.5,0.3,7.951179131109976,-0.9068316834841486,0.3855059528342246,0.9999982118606567,0,,0.016666666666666666,0.2947810606218576
creativity_triple,0.4748753142560798,1.5,0.3,7.934614289803294,-0.8897994791959722,0.3860072716131597,0.9999982118606567,0,0.0006630420684814453,0.016666666666666666,0.29386704263793917
feature_13142,0.47275193243876046,1.5,0.3,7.880777551142191,-0.8704008515878855,0.38540558209762227,0.9999982118606567,0,0.0010923147201538086,0.016666666666666666,0.29342276574898973
feature_184,0.47348973036398956,1.5,0.3,7.950588291913723,-0.9043783681056659,0.3847768175399416,0.9999982118606567,0,0.0008323185651029075,0.016666666666666666,0.29365870495557017
feature_20117,0.4736393567280744,1.5,0.3,7.8760490576427795,-0.8606229604775553,0.3850457116021427,0.9999982118606567,0,0.0011414278588983695,0.016666666666666666,0.29091895595893236
feature_31935,0.47111349992976254,1.5,0.3,7.914406648387605,-0.8875215989031413,0.38559740823062044,0.9999982118606567,0,0.0014376626609204912,0.016666666666666666,0.29436001674757767
feature_4237,0.47319183789711905,1.5,0.3,7.974270372154948,-0.9184259373457027,0.3866089917443846,0.9999982118606567,0,0.0017222779559329382,0.016666666666666666,0.2977729755202406
feature_4992,0.47552394715041385,1.5,0.3,8.039124853898187,-0.9487391036453877,0.3873744497370812,0.9999982118606567,0,0.0010153049139352,0.016666666666666666,0.30023136119625066
gradient_l48_sign+1,0.5013277635874847,1.3268702493204934,0.3,8.169434965283973,-0.9733920634130506,0.37183135923687227,0.9999982118606567,0,0.0009558200836181641,0.0,0.29664606455147197
gradient_l48_sign-1,0.4091789234258379,1.5,0.3,5.812111515452878,-0.43543918180469526,0.39791847502710864,0.9999982714653015,0,0.0011321306228637695,0.016666666666666666,0.2624976792307807
gradient_l50_sign+1,0.5127370630647576,1.43516946776577,0.3,8.17326397199768,-1.0201082178889616,0.37349325950364903,0.9999982118606567,0,0.0011175275515036276,0.0,0.3006089553714463
gradient_l50_sign-1,0.42461828612781105,1.5,0.3093110451831298,6.014359773060487,-0.4757795797478179,0.39549768752848796,0.9999982714653015,0,0.0009190440725710403,0.016666666666666666,0.26410327343345497
lora_combined,0.7992167225446838,0.7631951831762275,1.963667272345595,2.7021437471865557,-0.02705372013527557,0.03496873619880553,0.9999468326568604,0,,0.0,0.028217635650718068
mean_delta,0.47704932614326306,1.5,0.3,7.979586272973362,-0.9638363870851633,0.3811038071235165,0.9999982118606567,0,0.00972282886505127,0.016666666666666666,0.2969936248144154
mean_delta_fitted_magnitude,0.42481267050987587,0.9407374300660082,0.4082512176018685,3.3253768030352635,-0.46727089147947093,0.27281422300116925,0.9999983310699463,0,0.0014247257102787403,0.06666666666666667,0.21535880602896212
random_l48_sign+1,0.47589538233475126,1.5,0.3,7.993098200467597,-0.9311737259399084,0.38565235340043136,0.9999982118606567,0,0.0014240741729736328,0.016666666666666666,0.296846560403963
random_l48_sign-1,0.4695214610689278,1.5,0.3,7.929992609478905,-0.8920690535116352,0.38593019043854493,0.9999982118606567,0,0.0014293193817138672,0.016666666666666666,0.2963806912996362
random_l50_sign+1,0.4762584211918992,1.5,0.3,7.977907015395699,-0.8902236754993067,0.38481168941339144,0.9999982118606567,0,0.0007969141006469727,0.016666666666666666,0.2908136132576056
random_l50_sign-1,0.4696939757646933,1.5,0.3,7.890373752154016,-0.9047081698630344,0.3858572020283743,0.9999982118606567,0,0.0007598400115966797,0.016666666666666666,0.29841103656290924
reward_probe_l48_sign+1,0.47374579529350713,1.5,0.3,8.061344835955135,-0.9731189689069818,0.38803205064382756,0.9999982118606567,0,0.0011053085327148438,0.016666666666666666,0.3033857333423376
reward_probe_l48_sign-1,0.4714061044220158,1.5,0.3,7.845719770104338,-0.820942756016609,0.382926087902932,0.9999982118606567,0,0.000919342041015625,0.016666666666666666,0.2854609021991069
sae_preference_k1,0.4736662337732618,1.5,0.3,7.967363803780315,-0.9181464011307634,0.3853537223389454,0.9999982118606567,0,0.012244995029570438,0.016666666666666666,0.29648183017693336
sae_preference_k10,0.4751019995570887,1.5,0.3,7.939078391068139,-0.9016648196568564,0.38422424141907996,0.9999982118606567,0,0.007843135852440009,0.016666666666666666,0.2933254398309027
sae_preference_k10_fitted_magnitude,0.49652740355251257,1.5,0.3,7.360556269083245,-0.6980280654774909,0.36909197959336537,0.9999982714653015,0,0.0021853546131622714,0.016666666666666666,0.26922816002625927
sae_preference_k1_fitted_magnitude,0.4841699637323249,1.5,0.3,7.8201891131598265,-0.9014546941723384,0.38189647525701964,0.9999982118606567,0,0.002685517354034772,0.03333333333333333,0.29272027864190897
sae_preference_k3,0.4743796639435568,1.5,0.3,7.988649008090697,-0.9223932163064095,0.3857991388941742,0.9999982714653015,0,0.010623631328670613,0.016666666666666666,0.29642227402470567
sae_preference_k3_fitted_magnitude,0.4819857751198963,1.5,0.3,8.074641777074326,-1.0428210492911707,0.3873748270647584,0.9999982118606567,0,0.0026115774787172086,0.03333333333333333,0.30799273733677807
sae_readout_k10_sign+1,0.47830235765082774,1.5,0.3,8.563424243697213,-1.2639167725761382,0.3900936771953199,0.9999982118606567,0,0.0021772387239025193,0.03333333333333333,0.32738440778885103
sae_readout_k10_sign-1,0.45040297089093234,1.5,0.30570768864761055,6.852715530802744,-0.527439223940827,0.383109557002993,0.9999982714653015,0,0.0019416811396695266,0.0,0.2583182405151583
