layer,game,reference,direction,abs_cosine,multiples_of_null,perm_null_mean,perm_null_p95,clears_perm_null,perm_n,d,n_rows,n_levels
50,lottery,choice_probe,reward,0.12614,11.42,8.87,22.92,False,200,8192,354,45
50,lottery,choice_probe,diffmean,0.21296,19.27,29.03,45.02,False,200,8192,354,45
50,lottery,choice_probe,pca1,0.14668,13.28,1.06,2.45,True,200,8192,354,45
50,lottery,choice_probe,ridge_logn,0.13295,12.03,9.18,21.62,False,200,8192,354,45
50,lottery,choice_probe,gradient,0.0184,1.67,0.89,2.25,False,200,8192,354,45
50,lottery,choice_probe,rand0,0.03174,2.87,0.87,2.0,True,200,8192,354,45
50,lottery,choice_probe,rand1,0.00847,0.77,0.84,2.03,False,200,8192,354,45
