target,seed,wording,bias_model_rmse,cpt_model_rmse
combined,31,original,0.04154321693647654,0.12858828042803241
combined,31,transfer,0.05580195324045715,0.16410407271101474
combined,73,original,0.04109017191529927,0.12681029133037464
combined,73,transfer,0.04824968453682145,0.15910653933399907
neutral,31,original,0.038841057582727004,0.11471132992811672
neutral,31,transfer,0.03969772024817741,0.15137645836195193
neutral,73,original,0.03771120027664763,0.11112252444223644
neutral,73,transfer,0.04331609104848166,0.14603289761758048
