condition,norm,scope,cosine_to_readout
combined_dense_all_seed31_rho16,15.999994277954102,all,0.07537297904491425
combined_dense_all_seed73_rho16,15.999996185302734,all,0.08505326509475708
combined_sae10_all_seed31_rho16,15.999995231628418,all,0.06831642985343933
combined_sae10_all_seed73_rho16,15.999991416931152,all,0.07253659516572952
gradient_all_rho16,16.0,all,0.9999999403953552
gradient_negative_all_rho16,16.0,all,-0.9999999403953552
sae_gradient_all_rho16,15.999991416931152,all,0.276641309261322
random19_all_rho16,16.000001907348633,all,0.015400473959743977
random41_all_rho16,16.0,all,0.013824806548655033
random89_all_rho16,15.999999046325684,all,-0.01647343300282955
neutral_dense_all_seed31_rho16,15.999999046325684,all,0.08678358793258667
neutral_dense_all_seed73_rho16,16.000001907348633,all,0.08976199477910995
neutral_sae10_all_seed31_rho16,16.0,all,0.07738149911165237
neutral_sae10_all_seed73_rho16,15.99999713897705,all,0.07950874418020248
gradient_final_rho1,1.0,final,0.9999999403953552
gradient_negative_final_rho1,1.0,final,-0.9999999403953552
sae_gradient_final_rho1,0.999999463558197,final,0.276641309261322
gradient_final_rho4,4.0,final,0.9999999403953552
gradient_negative_final_rho4,4.0,final,-0.9999999403953552
sae_gradient_final_rho4,3.999997854232788,final,0.276641309261322
gradient_all_rho1,1.0,all,0.9999999403953552
gradient_negative_all_rho1,1.0,all,-0.9999999403953552
sae_gradient_all_rho1,0.999999463558197,all,0.276641309261322
gradient_all_rho4,4.0,all,0.9999999403953552
gradient_negative_all_rho4,4.0,all,-0.9999999403953552
sae_gradient_all_rho4,3.999997854232788,all,0.276641309261322
