feature,scope,sign,target,cosine_to_readout,discovery_ce,discovery_teacher_rmse,min_answer_mass
11870,final,-1,combined,-0.015661176294088364,1.8532065397897393,0.3499760493932571,0.9999978542327881
11870,final,-1,neutral,-0.015661176294088364,1.9417319328849518,0.3499301057945462,0.9999978542327881
11870,final,1,combined,-0.015661176294088364,3.138706513076713,0.3499880473475341,0.9999982714653015
11870,final,1,neutral,-0.015661176294088364,3.342868440540453,0.35719033699142183,0.9999982714653015
47503,final,-1,combined,0.07667230814695358,4.681800867135668,0.41297825039909475,0.9846177697181702
47503,final,-1,neutral,0.07667230814695358,4.873847009560537,0.40451810252774306,0.9846177697181702
47503,final,1,combined,0.07667230814695358,1.8424239765461483,0.5082528143097439,0.9999978542327881
47503,final,1,neutral,0.07667230814695358,1.8408261345700028,0.49258171876904,0.9999978542327881
15307,final,-1,combined,0.04720905050635338,3.753084235354754,0.33339730879269974,0.9999982118606567
15307,final,-1,neutral,0.04720905050635338,4.0459713757317495,0.3415779722542248,0.9999982118606567
15307,final,1,combined,0.04720905050635338,1.2258445234162925,0.34901544407451063,0.9999892115592957
15307,final,1,neutral,0.04720905050635338,1.2554457173320936,0.3430938545535599,0.9999892115592957
62440,final,-1,combined,-0.044546112418174744,1.3494858627988482,0.35575572134523603,0.6253671646118164
62440,final,-1,neutral,-0.044546112418174744,1.3923747974029363,0.3484025604441111,0.6253671646118164
62440,final,1,combined,-0.044546112418174744,3.934600407100742,0.33404444966960595,0.9999982714653015
62440,final,1,neutral,-0.044546112418174744,4.291756893790418,0.3468070808304625,0.9999982714653015
39254,final,-1,combined,-0.016318731009960175,19.59928883920381,0.49348484426341827,3.1203572688624474e-20
39254,final,-1,neutral,-0.016318731009960175,19.6011755962545,0.47863630388822165,3.1203572688624474e-20
39254,final,1,combined,-0.016318731009960175,3.2218346836126974,0.36667959871696887,0.9999982714653015
39254,final,1,neutral,-0.016318731009960175,3.4137284702085102,0.37038995377291184,0.9999982714653015
33404,final,-1,combined,0.05265919491648674,3.475922331519771,0.37323430460592827,0.9999978542327881
33404,final,-1,neutral,0.05265919491648674,3.694524787273577,0.37099843254722237,0.9999978542327881
33404,final,1,combined,0.05265919491648674,1.4117710362220524,0.3192024509040392,0.9999606609344482
33404,final,1,neutral,0.05265919491648674,1.4607043465772713,0.31752825546789104,0.9999606609344482
60415,final,-1,combined,0.056993789970874786,3.8994459945958306,0.41071427705950914,0.9621578454971313
60415,final,-1,neutral,0.056993789970874786,4.051215978390927,0.3966744491620689,0.9621578454971313
60415,final,1,combined,0.056993789970874786,1.6879739066787058,0.4295168878262953,0.9999982714653015
60415,final,1,neutral,0.056993789970874786,1.7378966806146405,0.41816044895364024,0.9999982714653015
55159,final,-1,combined,-0.011667696759104729,7.5251469571712235,0.3021550687074637,5.277513264445588e-05
55159,final,-1,neutral,-0.011667696759104729,7.4951027333759095,0.26136999852921,5.277513264445588e-05
