condition,template,target,teacher_rmse,rmse_low,rmse_high,heldout_cpt_rmse,shortcut_rmse,cpt_advantage,order_gap,control_accuracy,passed
baseline,original,combined,0.36431715954771704,0.3272186059754395,0.4045237352284864,0.3125584631712543,1.8317739169300454e-06,-0.31255663139733736,0.27840058132791723,0.9583333333333334,False
baseline,transfer,combined,0.37987068854271117,0.3430416545599786,0.4172189760074115,0.40639096819968,2.238793906599884e-06,-0.4063887294057734,0.17315442862508923,0.9583333333333334,False
lora,original,combined,0.04159322541750735,0.03533263819508115,0.04778251544537485,0.04014934767576146,0.1630702978738249,0.12292095019806344,0.023676351654338994,0.9791666666666666,True
lora,transfer,combined,0.1147496525537835,0.09880032070695216,0.13022797388909543,0.11492761956663698,0.18736512507561182,0.07243750550897483,0.053201710451739256,0.9791666666666666,False
combined_dense_all_seed31_rho16,original,combined,0.12856207733970554,0.1078242810092103,0.15045403072001393,0.11608480987770906,0.11267885129695249,-0.0034059585807565684,0.06968319330674906,0.8958333333333334,False
combined_dense_all_seed31_rho16,transfer,combined,0.22532456704401566,0.19597969892996997,0.25456119618017337,0.2037178753757873,0.15766821917735388,-0.04604965619843343,0.20033884883202888,0.8958333333333334,False
combined_dense_all_seed73_rho16,original,combined,0.15124702376648705,0.13295329503149916,0.17141011510746587,0.14031665137905158,0.1308517890040012,-0.00946486237505037,0.12717531452438346,0.9583333333333334,False
combined_dense_all_seed73_rho16,transfer,combined,0.22366593881373592,0.19699052377402554,0.2491673992009246,0.20456244145212538,0.18754182510830666,-0.017020616343818712,0.1744378214115622,0.9583333333333334,False
combined_sae10_all_seed31_rho16,original,combined,0.20175597247631866,0.17993000101268652,0.22221435409147897,0.12858828042803241,0.04154321693647654,-0.08704506349155587,0.10818701037378223,0.8958333333333334,False
combined_sae10_all_seed31_rho16,transfer,combined,0.2201079436147884,0.19339773440654287,0.24526288323828982,0.16410407271101474,0.05580195324045715,-0.1083021194705576,0.1004520806449431,0.8958333333333334,False
combined_sae10_all_seed73_rho16,original,combined,0.20754134426603268,0.1854760459963692,0.22820451947745427,0.12681029133037464,0.04109017191529927,-0.08572011941507537,0.10999294811928714,0.8958333333333334,False
combined_sae10_all_seed73_rho16,transfer,combined,0.22356448811260052,0.1968421372263373,0.249118593360206,0.15910653933399907,0.04824968453682145,-0.11085685479717762,0.0933826372579292,0.8958333333333334,False
gradient_all_rho16,original,combined,0.24351368233197015,0.22225704869432703,0.2643493551049999,0.07280084933517847,0.03672996538259447,-0.036070883952583996,0.20311306251419914,0.9166666666666666,False
gradient_all_rho16,transfer,combined,0.251758222373189,0.2259751992474646,0.2760924665835665,0.1023821747611066,0.04811773147361502,-0.05426444328749158,0.1794378096582713,0.9166666666666666,False
gradient_negative_all_rho16,original,combined,0.5380298123429186,0.5138933685984948,0.5620900885514604,0.26201129161260256,0.15830045759764064,-0.10371083401496192,0.8346436992006895,0.5208333333333334,False
gradient_negative_all_rho16,transfer,combined,0.5736620245730233,0.5559536572227414,0.5904809699051143,0.1653701572254304,0.2096504839289525,0.04428032670352211,0.9675165558302844,0.5208333333333334,False
sae_gradient_all_rho16,original,combined,0.24816821759827185,0.22798953777870443,0.2690037769338122,0.0814361352136201,0.026762229711463865,-0.054673905502156235,0.23548914823267195,0.9375,False
sae_gradient_all_rho16,transfer,combined,0.24845878722950093,0.22155886417606788,0.27360984502210434,0.11499600854098935,0.03956951464869962,-0.07542649389228973,0.14760884214882497,0.9375,False
random19_all_rho16,original,combined,0.29301374955895093,0.258740923265743,0.3285149884710087,0.27809234312645353,0.03452020249544775,-0.2435721406310058,0.20270616499354227,0.9375,False
random19_all_rho16,transfer,combined,0.32094568618043073,0.29004447968176955,0.3519525572030243,0.33719923021054876,0.11499283447383438,-0.22220639573671438,0.1732483654820869,0.9375,False
random41_all_rho16,original,combined,0.33168290450480464,0.2954085576375476,0.3692279785695166,0.2911177016173208,0.03747790372900887,-0.2536397978883119,0.2536454177660222,0.9166666666666666,False
random41_all_rho16,transfer,combined,0.3496315537735158,0.3156039526757206,0.3831431410423952,0.3579786728633614,0.1193910564976862,-0.2385876163656752,0.17553975431024404,0.9166666666666666,False
random89_all_rho16,original,combined,0.3023461833206272,0.2689149077090131,0.3372267870118745,0.28716314372262247,0.046061829060521614,-0.24110131466210086,0.1899522231179755,0.9583333333333334,False
random89_all_rho16,transfer,combined,0.3451391038858964,0.31222607406987224,0.3791419184718456,0.3699703281607342,0.15463371355738417,-0.21533661460335005,0.1697602773222789,0.9583333333333334,False
neutral_dense_all_seed31_rho16,original,neutral,0.1318792752429498,0.11060263171329375,0.1524520427642384,0.12096212751586516,0.12866003566271408,0.007697908146848925,0.06192783807852754,0.9583333333333334,False
neutral_dense_all_seed31_rho16,transfer,neutral,0.24782178917278855,0.222089374150652,0.2768745245526315,0.21269903994288314,0.15242249342509342,-0.060276546517789714,0.19637617160117737,0.9583333333333334,False
neutral_dense_all_seed73_rho16,original,neutral,0.13226386597563172,0.11263750394816634,0.15350319531406253,0.1225197191178446,0.12780646413599822,0.005286745018153627,0.08691307271968711,0.9791666666666666,False
neutral_dense_all_seed73_rho16,transfer,neutral,0.24084509708979207,0.21519527198582616,0.2674577729058295,0.20566878544367068,0.14738270701086856,-0.05828607843280212,0.20277699384044995,0.9791666666666666,False
neutral_sae10_all_seed31_rho16,original,neutral,0.20428941009377405,0.1780818802190224,0.23075608402395745,0.11471132992811672,0.038841057582727004,-0.07587027234538972,0.09571944756640328,0.9166666666666666,False
neutral_sae10_all_seed31_rho16,transfer,neutral,0.2532135432384396,0.2243287173562128,0.2817167556235384,0.15137645836195193,0.03969772024817741,-0.11167873811377452,0.08461560502096459,0.9166666666666666,False
neutral_sae10_all_seed73_rho16,original,neutral,0.2035465093893055,0.17892439574046703,0.22949054665811963,0.11112252444223644,0.03771120027664763,-0.07341132416558882,0.09530968784734055,0.9166666666666666,False
neutral_sae10_all_seed73_rho16,transfer,neutral,0.2532503927554737,0.2225497699895349,0.28208781052506726,0.14603289761758048,0.04331609104848166,-0.10271680656909882,0.07345375046133995,0.9166666666666666,False
gradient_final_rho1,original,combined,0.36611005373648103,0.3333566856863247,0.3992349328573031,0.26681861415632735,0.04560487287501927,-0.22121374128130808,0.32454871663893065,0.9583333333333334,False
gradient_final_rho1,transfer,combined,0.35402357810912854,0.3179824005520508,0.3897845673414803,0.38843956900767757,0.0641009404942631,-0.32433862851341444,0.1781420797348582,0.9583333333333334,False
gradient_negative_final_rho1,original,combined,0.36787278816071445,0.3290906071108099,0.40837413928186195,0.3698493096245857,0.09219468719147973,-0.27765462243310596,0.1753046808109327,0.9583333333333334,False
gradient_negative_final_rho1,transfer,combined,0.3800177837313141,0.3433285121639868,0.41703071148252324,0.39028174727056886,0.10544180473912967,-0.2848399425314392,0.16370159735164086,0.9583333333333334,False
sae_gradient_final_rho1,original,combined,0.37250822576028986,0.3365997498547414,0.41004337946078134,0.29777101808925066,0.02041458730482085,-0.2773564307844298,0.31249807375544475,0.9583333333333334,False
sae_gradient_final_rho1,transfer,combined,0.3714651565929621,0.336439914022196,0.40588939430095505,0.40013060356213026,0.016358960904895418,-0.38377164265723485,0.18282695256146692,0.9583333333333334,False
gradient_final_rho4,original,combined,0.2961111674500543,0.2684489097002425,0.32378181595741795,0.1791416331744766,0.09972743042791586,-0.07941420274656073,0.32344760882767365,0.9791666666666666,False
gradient_final_rho4,transfer,combined,0.25314298721595957,0.21640345831002258,0.28794093784732155,0.263318051574192,0.11152371572682561,-0.1517943358473664,0.22669442444694815,0.9791666666666666,False
gradient_negative_final_rho4,original,combined,0.4854218802856877,0.4457503172304413,0.5244231436843997,0.44525249379224385,0.1619223812205035,-0.28333011257174034,0.2664260541693789,0.9166666666666666,False
gradient_negative_final_rho4,transfer,combined,0.4969562464173555,0.46471494409202957,0.5252738666116532,0.414769230803713,0.3479914018149326,-0.06677782898878037,0.6723751914084706,0.9166666666666666,False
sae_gradient_final_rho4,original,combined,0.3579604079773595,0.32780123590739024,0.38796568853899205,0.23665036233822231,0.0402235171671594,-0.1964268451710629,0.3812424248534188,0.9583333333333334,False
sae_gradient_final_rho4,transfer,combined,0.32863512162559555,0.29573193939567183,0.36058313943215026,0.32929721386374805,0.05787382071705359,-0.27142339314669445,0.23423569357772875,0.9583333333333334,False
gradient_all_rho1,original,combined,0.36866974057417007,0.33615452306970683,0.4021527555055471,0.2616844245866719,0.03942086097955386,-0.22226356360711805,0.3455406234595157,0.9375,False
gradient_all_rho1,transfer,combined,0.35620654933733703,0.3189085565356422,0.39246664814284965,0.38124415036607406,0.07344109974885887,-0.3078030506172152,0.2043411649758919,0.9375,False
gradient_negative_all_rho1,original,combined,0.3670029336087316,0.32830440714051806,0.4074974964319188,0.36885950033136344,0.09310682823182666,-0.2757526720995368,0.16243798197902434,0.9583333333333334,False
gradient_negative_all_rho1,transfer,combined,0.37442914540977595,0.3384911591469688,0.4108280897544521,0.3819916661013395,0.12796066161839423,-0.25403100448294524,0.17168352122199326,0.9583333333333334,False
sae_gradient_all_rho1,original,combined,0.3697845577669797,0.3342066534200191,0.40779697489309413,0.2952900489058387,0.017358002642127675,-0.27793204626371104,0.314036970148266,0.9583333333333334,False
sae_gradient_all_rho1,transfer,combined,0.3679747057907604,0.3331258702475474,0.402708114320034,0.3946720642977305,0.028875829782931017,-0.3657962345147995,0.1938357479309321,0.9583333333333334,False
gradient_all_rho4,original,combined,0.2942111792207695,0.2676608168914798,0.319699933184359,0.1606822530279545,0.07514228180239806,-0.08553997122555644,0.3651423449628055,0.9583333333333334,False
gradient_all_rho4,transfer,combined,0.27957601277344485,0.24841007724446101,0.30899728343400523,0.24838282589349667,0.12187267366508568,-0.126510152228411,0.33386868824837385,0.9583333333333334,False
gradient_negative_all_rho4,original,combined,0.4739921707452067,0.4346227885236616,0.5140011176374407,0.44086222845996614,0.16590626854143087,-0.2749559599185353,0.2516192946504025,0.9166666666666666,False
gradient_negative_all_rho4,transfer,combined,0.4825643585115104,0.4484913208449425,0.5103849582747453,0.42929927625965014,0.2925538470716655,-0.13674542918798466,0.6015269925243811,0.9166666666666666,False
sae_gradient_all_rho4,original,combined,0.28447937912516064,0.25922225738655225,0.30951911970186863,0.20387739944417432,0.03764332054891255,-0.16623407889526176,0.283248663302166,0.9375,False
sae_gradient_all_rho4,transfer,combined,0.2900554128753007,0.2614573432815271,0.3190306337645388,0.278613298153524,0.08909418572397565,-0.18951911242954833,0.23337552771489653,0.9375,False
